"sv" "en"
"kmi" "KMI"
"vapenlagar" "gun laws"
"venezuela" "venezuela"
"livslångt" "lifelong"
"andligt" "spiritually"
"fullvuxna" "adult"
"läraryrken" "teaching professions"
"vattenrening" "water"
"gymnasieungdomar" "secondary school"
"utbildningsrevolution" "educational revolution"
"studiestödskommitten" "student committee"
"gymnasisterna" "collegians"
"extraknäck" "moonlighting"
"tågbiljett" "train ticket"
"studentlivet" "student life"
"självmordsförsök" "suicide attempt"
"karenstiden" "waiting period"
"genomgånget" "completion"
"uppdras" "entrusted"
"studielånen" "student loans"
"ruta" "box"
"studiestödsutredningens" "student Aid Inquiry"
"fribeloppet" "exempt amount"
"rekryterande" "recruiting"
"studietakt" "tempo"
"avskriven" "undepreciated"
"bidragsnivåer" "refund"
"studiehjälpen" "study aid"
"rabatterna" "discounts"
"särskolor" "special schools"
"helhetsbedömningen" "overall assessment"
"rabattsystemet" "discount system"
"nicka" "nod"
"vidareutbildar" "further education"
"slutför" "completion"
"arbetsinnehåll" "work content"
"inflationstryck" "inflationary pressure"
"studietraditioner" "study traditions"
"intagningar" "admissions"
"diskrepanser" "discrepancies"
"konjunkturskäl" "economic reasons"
"nettobesparing" "net saving"
"riksintag" "national intake"
"begåvningsreserv" "talent pool"
"försvarstal" "apology"
"försinkar" "delay the implementation"
"utbildningsväg" "learning path"
"personvalet" "personal choice"
"missbrukats" "misused"
"utbildningsmarknaden" "training market"
"påhittiga" "resourceful"
"kristerssons" "Krister son"
"studietradition" "study tradition"
"valkretsindelning" "division of constituencies"
"vallagskommitte" "vallagskommitte"
"övermäktigt" "overbearing"
"spetskunskap" "excellence"
"bruttoinkomst" "gross income"
"korttidsutbildade" "limited education"
"berövad" "bereft"
"orättfärdighet" "unrighteousness"
"yrkesinriktat" "vocational"
"samhällsuppdrag" "social mission"
"tjänstledigt" "leave of absence"
"lärarbristen" "teacher shortage"
"pensionsavgångarna" "retirements"
"könsrollsmönster" "gender roles"
"berövar" "rob"
"humoristiskt" "humorous"
"jordbruksnäringens" "agricultural activity,"
"livsmedelsindustrier" "food industries"
"livsmedelsprodukter" "food products"
"frångick" "went from"
"exportsatsningarna" "export efforts"
"konfiskatoriska" "confiscatory"
"centerpartistiske" "Center Party"
"miljömotivet" "environment subject"
"lyckligaste" "happiest"
"hållbarheten" "sustainability"
"framkomligt" "passable"
"krama" "hug"
"sketchen" "sketch"
"uppfödd" "bred"
"jordbrukspolitisk" "agricultural policy"
"bönders" "farmers"
"jordbruksföretagens" "farm"
"slutreplik" "PARTING SHOT"
"medlemsförhandlingar" "membership negotiations"
"produktionsstöden" "production support"
"svinproduktionen" "pig production"
"klappar" "pats"
"tystats" "silenced"
"tillrådligt" "advisable"
"arbetsprocess" "worker"
"ansökningsblanketter" "application forms"
"kranen" "tap"
"otillfredsställelse" "dissatisfaction"
"uppföljningsarbetet" "follow-up work"
"ydre" "ydre"
"lammkött" "Lamb"
"mejerierna" "dairies"
"nötkött" "beef"
"kommenterats" "commented"
"mjölksektorn" "milk sector"
"nötköttsproduktion" "beef production"
"omorganiserat" "reorganized"
"kämpigt" "tough"
"partners" "partner"
"solida" "solid"
"patetisk" "pathetic"
"vurmar" "a passion"
"köttproduktion" "meat production"
"självförsörjningsgraden" "self-sufficiency"
"frontalangrepp" "frontal attack"
"budgetområde" "budgetary area"
"miljöersättningarna" "environmental payments"
"omorganiserar" "reorganizes"
"livsmedelsexport" "food exports"
"självskrivet" "self-written"
"försörjningsmöjligheterna" "livelihoods"
"miljöpengarna" "environment money"
"produktionsresultat" "production results"
"hagarna" "pastures"
"avtrappas" "scaled"
"behagade" "pleased"
"galant" "gallant"
"lokaltrafiken" "local traffic"
"syskonen" "the siblings"
"farbara" "navigable"
"infart" "entrance"
"flygpassagerare" "air passengers"
"ältats" "ältats"
"geologiskt" "geologically"
"kustsjöfarten" "coastal shipping"
"spyr" "puking"
"kulisserna" "scenes"
"invaderat" "invaded"
"certifierat" "certified"
"eulista" "eulista"
"förädlat" "refined"
"kommunikationsutredningen" "communication investigation"
"riksintressen" "national interests"
"naturtyp" "habitat"
"bilköerna" "traffic jams"
"kavaj" "jacket"
"stamnätet" "grid"
"vägars" "roads"
"hemställa" "I request"
"medial" "medial"
"kostnadssänkningar" "cost reductions"
"konkursmässiga" "bankrupt"
"citymail" "citymail"
"konkurrenten" "competitor"
"upphandlad" "procured"
"subventioneringen" "subsidization"
"trafikhuvudmän" "PTAs"
"transportproblem" "transportation problems"
"företräddes" "represented"
"avlövning" "defoliation"
"miljoners" "millions"
"rusning" "rush"
"kontanter" "cash"
"transportförsörjningen" "transport provision"
"porton" "Porton"
"fraktar" "freight"
"makaber" "macabre"
"tågförbindelse" "train"
"markens" "soil"
"kraftåtgärder" "crackdown"
"lärarhögskolans" "university teacher"
"lärarhögskolan_i_stockholm" "Stockholm Institute of Education"
"södertäljes" "Södertälje"
"södertörns_högskola" "Södertörn University"
"moderatlett" "moderate led"
"differenser" "differences"
"dimmiga" "hazy"
"ordalydelse" "wording"
"järrels" "järrels"
"praxisutveckling" "practice development"
"profilerar" "Profile"
"handlingens" "action"
"prövningstillstånd" "appeal"
"länsrätter" "county Administrative Courts"
"fagersta" "fagersta"
"tingsställen" "ting sites"
"tingsställe" "thing place"
"sala" "sala"
"brottsdrabbade" "fracture affected"
"flytten" "the move"
"pendlingsavstånd" "commuting"
"europavägar" "European highways"
"omarbetat" "reworked"
"domstolsorganisationen" "court system"
"omöjligheten" "impossibility"
"tingsrätternas" "district courts"
"inkorporerats" "incorporated"
"efterverkningar" "aftereffects"
"samhällsomvandlingen" "social transformation"
"riskanalyser" "risk analysis"
"lantmäteri" "surveying"
"ukrainska" "Ukrainian"
"gruppmöte" "group meeting"
"ukrainas" "Ukraine"
"kunskapsluckor" "knowledge gaps"
"kunskapsbas" "knowledge base"
"observer" "observed"
"british" "British"
"medical" "Medical"
"journal" "journal"
"närbelägna" "adjacent"
"jack" "jack"
"kunskapsluckorna" "knowledge gaps"
"framtidsplanering" "future planning"
"minsk" "reduced"
"kijev" "Kiev"
"olustigt" "unpleasant"
"strålar" "rays"
"barnbarns" "grandchildren"
"kärnkraftsanläggningar" "nuclear power plants"
"slovakiska" "Slovak"
"tillsvidare" "until further notice"
"rätas" "straightened"
"lärar" "teaching"
"färskaste" "freshest"
"fackdepartement" "line ministry"
"mervärden" "added value"
"avskärmning" "screening"
"samhällsfenomen" "social phenomenon"
"separerat" "separated"
"koordinerar" "coordinate"
"nyanländ" "New Arrival"
"boendefrågor" "housing issues"
"sanchez" "Sanchez"
"segregera" "segregate"
"språkgrupper" "language groups"
"embryon" "embryos"
"södertörns" "Södertörns"
"högskoleverksamheten" "Higher activity"
"lokalmässigt" "local basis"
"lokalförsörjningen" "local supply"
"journalisters" "journalists"
"återgivna" "reproduced"
"lagbestämmelser" "statutory provisions"
"diarium" "diary"
"förvaltningsmyndigheterna" "managing authorities"
"grunddokument" "founding document"
"eftersökt" "sought"
"berövades" "deprived"
"minnena" "memories"
"ondskan" "evil"
"parkerad" "parked"
"delansvarig" "Co-head"
"medfödd" "congenital"
"lågkonjunkturerna" "recessions"
"kpi" "cpi"
"oxfile" "fillet of beef"
"sveken" "betrayals"
"kommunpolitiken" "municipal politics"
"glädjekalkyl" "calculation joy"
"lurendrejeri" "fiddle"
"pilar" "arrows"
"lanserar" "launches"
"snygga" "stylish"
"avverkningar" "felling"
"energitillgångar" "energy resources"
"skaror" "throngs"
"skuta" "schooner"
"köl" "keel"
"fosterlandet" "fatherland"
"inkomstläge" "iNCOME BRACKET"
"badrummet" "bathroom"
"renoverat" "renovated"
"badrum" "bathroom"
"hantverkaren" "craftsman"
"ilskan" "the rage"
"sveper" "sweep"
"vedermödor" "tribulations"
"yrkesvalet" "career choice"
"skulduppbyggnad" "debt structure"
"stabiliserat" "stabilized"
"engångsvisa" "disposable see"
"avdragssystem" "deduction system"
"lagarbete" "teamwork"
"tvångsförvalta" "forced manage"
"tryckning" "printing"
"könssegregering" "gender segregation"
"betryckt" "oppressed"
"nyckelfunktion" "key function"
"utbildningsdepartementen" "education departments"
"festivalen" "festival"
"teaterbesök" "theater"
"efterarbete" "after work"
"förskolelärare" "preschool teacher"
"astrid_lindgren" "Astrid Lindgren"
"arkeologisk" "archaeological"
"uppdragsarkeologin" "contract archeology"
"kulturminneslagens" "heritage Conservation Act"
"uppdragsarkeologi" "assignment archeology"
"momsinbetalningarna" "VAT payments"
"koldioxidskatter" "carbon taxes"
"matmomssänkning" "matmomssänkning"
"gnetande" "gnetande"
"skatteproblematiken" "tax problem"
"arkeologiska" "archeological"
"fornlämningar" "ancient monuments"
"förmyndarskap" "guardianship"
"bankirer" "bankers"
"kommandot" "command"
"fråntagit" "from taking"
"tillväxtmotorn" "growth engine"
"skämmer" "spoils"
"optimister" "optimists"
"akademikern" "academician"
"väver" "weave"
"motargumentet" "counter-argument"
"principfasthet" "rigor"
"snickrat" "carved"
"slösaktig" "wasteful"
"lyxiga" "luxury"
"lokalsamhällen" "local communities"
"rämna" "rend"
"dito" "ditto"
"personkemin" "chemistry"
"partitaktiken" "portion tactic"
"körda" "run"
"driv" "driving"
"hjulspåren" "wheel tracks"
"gropen" "pit"
"tröstlöst" "cheerless"
"exemplens" "of the examples"
"hanterbara" "manageable"
"välfärdstjänster" "welfare services"
"tröskeleffekter" "threshold effects"
"förvaltningarna" "administrations"
"ensamförsörjande" "single parents"
"otrohet" "infidelity"
"familjegemenskap" "family Community"
"oavvislig" "inalienable"
"kravlösheten" "permissiveness of"
"leva_sitt_liv" "live his life"
"eftermiddagar" "afternoons"
"blöjor" "diapers"
"decilerna" "deciles"
"barnlösa" "childless"
"utgiftsposterna" "expenditure items"
"spädbarnsdödlighet" "infant mortality"
"trygghetsförsäkringar" "security assurances"
"bidragsformerna" "the forms"
"familjetyper" "family types"
"överkomligt" "affordable"
"förskolebarnen" "preschool children"
"standardförbättring" "improvement in standard"
"lyssnaren" "listener"
"stulen" "stolen"
"sammankomst" "gathering"
"artikelserie" "Article series"
"dam" "Lady"
"liverpool" "liverpool"
"drogad" "drugged"
"konstituerar" "constitute"
"utredningstid" "of investigation"
"systemförändring" "system change"
"levnadsår" "life"
"matkostnaderna" "food costs"
"likrikta" "rectifier"
"resignation" "resignation"
"amalgamanvändningen" "the use of amalgam"
"hälsoskäl" "health"
"livsuppgift" "life&#39;s work"
"state" "state"
"dioxinet" "dioxin"
"biverkningsregister" "adverse Directory"
"munnar" "mouths"
"bläddrade" "leafed"
"klassificerat" "classified"
"klassificerade" "classified"
"diagnosmetoder" "diagnostics"
"tankearbete" "brainwork"
"naturlighet" "naturalness"
"läkarundersökning" "medical"
"förståelig" "understandable"
"omar" "omar"
"vårby" "Vårby"
"muslim" "muslim"
"dopar" "dope"
"snackar" "talking"
"blotta_ögat" "naked eye"
"forskarsamhällets" "research community"
"korrumperad" "corrupt"
"ersättningsmedel" "substitute"
"lagningar" "repairs"
"bemötandet" "hospitality"
"professionen" "profession"
"vitro" "vitro"
"levnadssituation" "living conditions"
"psykologförbundet" "psychologist Association"
"hänskjutit" "referred the"
"idrottsutövare" "athlete"
"idrottsgrenar" "sports"
"strafftidens" "their sentence"
"depressiv" "depressive"
"impotens" "impotence"
"sömnproblem" "sleeping problems"
"självmordstankar" "suicidal thoughts"
"aggressivitet" "aggressiveness"
"sjukvårdspersonalens" "Workforce"
"sexualiserad" "sexualized"
"spelfilm" "motion picture"
"sexualiserat" "sexualised"
"riksorganisationen" "national organization"
"roks" "roks"
"däruppe" "up there"
"ledningscentraler" "control centers"
"framtidsfrågan" "future issue"
"avkomma" "offspring"
"gensekvenser" "gene sequences"
"återfunnits" "been recovered"
"fyllningar" "fillings"
"preparatet" "preparation"
"riskbedömning" "risk assessment"
"ringakta" "despise"
"avdelat" "partitioned"
"experimenterar" "experimenting"
"belägger" "Tile"
"diagnostisera" "diagnose"
"forskarrapporter" "research reports"
"framgångsfaktorerna" "success factors"
"långivarnas" "lenders"
"digitalisering" "digitizing"
"forskningsarbetet" "research"
"monopoliseringen" "monopolization"
"exportfrämjandet" "export promotion"
"innehaven" "holdings"
"realiserar" "realizes"
"ägandeformer" "forms of ownership"
"återupprättade" "restored"
"nyföretagarcentrum" "Nyföretagarcentrum"
"uppbyggnadsskedet" "up stage"
"royalty" "royalty"
"innovationsfrämjande" "promoting innovation"
"industrirelaterade" "industry related"
"industriforskningsinstitut" "industrial research"
"sammanlänka" "linking"
"teknikbrostiftelserna" "Teknikbro"
"huvudpersonerna" "main characters"
"hembygden" "homeland"
"misstänkliggör" "aspersions"
"arbetsveckor" "work weeks"
"förtroendeklyftan" "credibility gap"
"förtroendeklyfta" "credibility gap"
"företagslån" "business loans"
"administratörer" "administrators"
"samarbetspartnern" "partner"
"bonusar" "bonuses"
"konsultarvoden" "consulting fees"
"vdoch" "vdoch"
"helägare" "sole owner"
"anmodas" "invited"
"rymdbolagets" "space company"
"sågspån" "sawdust"
"hårdna" "harden"
"värmeverk" "heating plant"
"prospekteringar" "exploration"
"löpsedlar" "headlines"
"löpsedlarna" "headlines"
"forskningsbaserade" "research-based"
"langarna" "hoses"
"uppsägningstider" "notice periods"
"återställda" "restored"
"middagen" "dinner"
"jordskorpan" "Earth crust"
"atomer" "atoms"
"lagrad" "stored"
"miljöteknikutveckling" "environmental engineering"
"galenskap" "madness"
"ingenjörsvetenskapsakademien" "engineering Sciences"
"biprodukter" "products"
"prislappar" "price tags"
"oja" "Oja"
"sjysta" "sjysta"
"miljöresultat" "environmental results"
"sammanträffande" "coincidence"
"vedervärdigt" "atrociously"
"hiskliga" "hideous"
"lönelyft" "raise"
"specifikation" "specification"
"regelöverträdelser" "rule violations"
"avbyråkratisering" "debureaucratisation"
"marknadsutvecklingen" "market"
"tyngdpunktsförskjutning" "the center of gravity"
"kopiering" "Copying"
"förädlingsgraden" "refinement"
"kunskapsinnehållet" "knowledge content"
"exportrådet" "export Council"
"tekniköverföringen" "technology transfer"
"löntagargrupper" "employee groups"
"innovationsklimat" "innovation climate"
"ensidighet" "sidedness"
"arbetsmässigt" "work wise"
"huvudinlägg" "key posts"
"gåvors" "&#39;s gifts"
"tillfredsställelsen" "satisfaction"
"neddraget" "draw down"
"förenklingsarbete" "simplification"
"fjärran_östern" "the Far east"
"skräddarsydd" "bespoke"
"spindeln_i_nätet" "Spider in the web"
"försäkringsvillkor" "insurance"
"åskådarplats" "the sidelines"
"immateriella" "intellectual property"
"uppväxtmiljöer" "growth environments"
"dopningsfrågan" "doping issue"
"brutalisering" "brutalization"
"nöjeslokaler" "entertainment venues"
"tragedierna" "tragedies"
"mullsjö" "mullsjö"
"budgetbetänkande" "financial report"
"drogpåverkade" "intoxicated"
"polisanmält" "police notified"
"dopningsbrott" "doping offenses"
"brottsutredningarna" "criminal investigations"
"boendesegregation" "residential segregation"
"preferenser" "preference"
"idrottsstjärnor" "sports stars"
"pop" "Pop"
"tankemönster" "thought pattern"
"övertas" "inherited"
"verkningsgraden" "efficiency"
"trappades" "escalated"
"socialvården" "social Welfare"
"socialvård" "social Welfare"
"efterföljas" "followed"
"lku" "LKU"
"stimulansmedel" "stimulus funds"
"arbetsmarknadsmässigt" "labor terms"
"rymdverksamheten" "space activities"
"gruvbolagen" "mining companies"
"länsråd" "County Director"
"mineraltillgångar" "mineral Resources"
"orkaner" "hurricanes"
"tomas" "Tomas"
"bankväsen" "banking"
"universitetsstudier" "University studies"
"fiskenäringen" "fishing"
"ocean" "ocean"
"dubblera" "double"
"genomförandetid" "completion"
"lantmäteriets" "Land Survey"
"målområdet" "target area"
"rymdforskning" "space research"
"fåfängt" "vainly"
"döbelnsmedicin" "Döbelnsgatan medicine"
"medicinering" "medication"
"värdeförändringar" "changes in value"
"besinningslösa" "heady"
"formens" "mold"
"prospekteringstillstånd" "exploration state"
"hemställanspunkten" "request point"
"proletariatets_diktatur" "dictatorship of the proletariat"
"tillförsäkrade" "the insured"
"inrapporterade" "reported"
"standardökning" "standard search"
"förknippar" "associate"
"lenin" "Lenin"
"frikoppla" "decouple"
"associerar" "associates"
"utvecklingsstrategin" "development strategy"
"överlastade" "overloaded"
"egoistisk" "egoistic"
"kärntekniken" "nuclear technology"
"reaktorsäkerheten" "reactor safety"
"policybeslut" "policy decisions"
"demokratirörelserna" "democratic movements"
"kommuniststater" "Communist states"
"säkerhetsstrukturer" "security structures"
"delningar" "splits"
"blockaden" "blockade"
"atomubåtar" "nuclear submarines"
"biståndspengarna" "assistance money"
"miljösaneringen" "environmental clean-up"
"exportkrediterna" "export credits"
"times" "times"
"marxism" "Marxism"
"favorituttryck" "favorite sayings"
"uppslagsbok" "reference book"
"hormonpreparat" "hormone preparations"
"nikotinet" "nicotine"
"nikotin" "nicotine"
"utegångsförbud" "curfew"
"välfärdspolitiska" "welfare policy"
"dispensmöjligheterna" "dispensing opportunities"
"barnmorskor" "midwives"
"psykoterapeuter" "psychotherapists"
"bilstöd" "car allowance"
"riskbedömningar" "risk assessments"
"demokratiområdet" "democracy area"
"handelsområdet" "trade area"
"försvarsanslag" "defense spending"
"barnhemmen" "orphanages"
"urgröpta" "hollowed"
"fredssträvanden" "peace efforts"
"bågen" "arc"
"östersjöländernas" "Baltic Sea countries"
"förorenat" "contaminated"
"samarbetsländernas" "partner countries"
"swedfund" "Swedfund"
"inkluderingen" "inclusion"
"ledarutbildning" "Leadership Training"
"näringslivsorganisationer" "business organizations"
"affärsuppgörelser" "business deals"
"ungdomsministern" "youth Minister"
"framkomstvägar" "framkomstvägar"
"talsyntes" "TTS"
"talböcker" "talking books"
"renässans" "renaissance"
"synonymt" "synonymously"
"förtrogna" "acquainted"
"stenhårda" "tough"
"cynismen" "cynicism"
"återupprättar" "restores"
"tänkesättet" "mindset"
"aktningsvärd" "estimable"
"dödligt" "deadly"
"gatuvåldet" "street violence"
"obekanta" "unknown"
"gängen" "gangs"
"subkulturer" "subcultures"
"projektstöd" "project support"
"sköterskor" "nurses"
"driftformen" "operating mode"
"sören_gyll" "Sören Gyll"
"kortar" "cards"
"arbetsmängden" "workload"
"storsatsningar" "great investments"
"vårdkostnaderna" "health care costs"
"samhällskostnaden" "social costs"
"finansieringsmodellen" "funding model"
"färdtjänsten" "transportation service"
"genteknikens" "genetic engineering"
"läkemedelslagen" "medicines Act"
"värdemässiga" "in value of"
"vikariat" "temporary"
"fredagarna" "Fridays"
"lördagarna" "Saturdays"
"jonatan" "Jonatan"
"lpstiftelsen" "lpstiftelsen"
"uttömda" "depleted"
"vårdnadstvister" "Child custody"
"invandrarföräldrar" "immigrant parents"
"bibringas" "imparted"
"ordningsregler" "regulations"
"grupptrycket" "peer pressure"
"statssekreterarna" "State Secretaries"
"förenats" "joined"
"fosterdiagnostiken" "prenatal diagnostics,"
"befruktning" "fertilization"
"kod" "code"
"wolf" "wolf"
"kungliga_vetenskapsakademien" "Royal Swedish Academy of Sciences"
"irrationella" "irrational"
"ekvationer" "equations"
"nationalekonomin" "economics"
"individperspektivet" "individual perspective"
"individperspektiv" "individual perspective"
"kikarsikten" "riflescopes"
"koderna" "codes"
"föreläsning" "lecture"
"kikat" "peeped"
"tioåringar" "ten year olds"
"åttan" "eighth grade"
"grundvärderingarna" "the core values"
"ekonomismen" "economism"
"känselspröt" "feeler"
"ekonomism" "economism"
"humanismens" "humanism"
"alkoholoch" "alkoholoch"
"osäkrare" "uncertain"
"krisbekämpning" "emergency control"
"trettiotalet" "thirties"
"cirklarna" "circles"
"vanmakten" "powerlessness"
"provocerade" "provoked"
"hallen" "hall"
"upprinnelse" "originated"
"brottskarriär" "fracture career"
"utspelas" "unfolding"
"drogfri" "drug free"
"personkrets" "personae"
"prioriteringsutredningens" "priority the Inquiry"
"kungsholmen" "kungsholmen"
"oomtvistat" "undisputed"
"torftiga" "sparseness"
"kristian" "Kristian"
"rågsved" "Rågsved"
"alby" "Alby"
"fritidsgården" "recreation center"
"mansroll" "male role"
"stadsmissionen" "city ​​mission"
"fylleri" "fills in"
"skolunderbyggnad" "schooling"
"moraluppfattning" "morality"
"straffsystem" "penalty"
"bibringa" "imparting"
"senarelagts" "postponed"
"närpolisområdena" "Policing areas"
"familjegruppskonferensen" "Family Conference"
"utbildningsmässiga" "educational"
"polisfrågorna" "policeman questions"
"närpolisorganisationen" "Local Police organization"
"drogen" "drug"
"vaksamheten" "vigilance"
"provocerat" "provoked"
"aggressiviteten" "aggressiveness"
"provokationen" "challenge"
"samhällsbilden" "social image"
"krogarna" "taverns"
"ryckts" "uprooted"
"vägledare" "guide"
"olik" "different"
"toleranta" "tolerant"
"naturlagar" "natural laws"
"massproduktion" "mass"
"ägdes" "owned"
"stimulerades" "stimulated"
"avdragsregler" "deduction rules"
"experternas" "expert"
"halvfabrikat" "intermediates"
"ropet" "cry"
"moster" "aunt"
"barnfrågor" "children&#39;s issues"
"multipliceras" "multiplied"
"flyktingtillströmning" "refugee influx"
"killen" "guy"
"mungiporna" "corners of the mouth"
"ångestfyllda" "anguished"
"matinköp" "grocery shopping"
"invandrarorganisationer" "immigrant organizations"
"ungdomsorganisationernas" "youth organizations"
"skiljaktigheter" "differences"
"omsorgsbehovet" "care need"
"omsorgsformer" "forms of care"
"livsförhållanden" "living conditions"
"diskriminerats" "discriminated"
"makars" "matrimonial"
"felskrivning" "clerical error"
"förskoletiden" "preschool time"
"lättöverskådligt" "easy to understand"
"transferering" "transfers"
"precisionen" "accuracy"
"kommenterades" "commented"
"försade" "gushed"
"attackeras" "attack"
"raserandet" "the destruction"
"frusit" "frozen"
"låglöneyrken" "low-wage occupations"
"bondesamhället" "farming community"
"övertogs" "was taken over"
"procenttalet" "percentage"
"vanvördigt" "irreverently"
"familjebildning" "a family"
"jäms" "hinge"
"sängplatser" "beds"
"bostadslös" "homeless"
"punktskriftsbiblioteket" "punktskriftsbiblioteket"
"skönare" "more beautiful"
"barnomsorgsverksamhet" "child care activities"
"repet" "repeat"
"subventionerats" "subsidized"
"reaktionärt" "reactionary"
"kommuninvånarnas" "local residents"
"ungdomspsykiatrin" "Adolescent psychiatry"
"nödgats" "compelled to"
"bostadsbidragets" "housing allowance"
"barnbarnet" "grandchild"
"indikera" "indicate"
"luftmiljö" "air environment"
"industrifacken" "industrial unions"
"symbolhandling" "symbolic action"
"samordnats" "coordinated"
"tidsåtgången" "duration"
"tillbakadragna" "reclusive"
"tidningen_svensk_polis" "magazine Swedish police"
"motsägande" "contradictory"
"textmassa" "of text"
"höganrikat_uran" "HEU"
"ekeus" "Ekeus"
"kramp" "cramp"
"brista" "burst"
"olycksbådande" "sinister"
"förtjänat" "earned"
"inside" "inside"
"statuera" "set an"
"pulsen" "the pulse"
"förfärade" "terrified"
"proklamerar" "proclaims"
"mutera" "mutate"
"iter" "ites"
"behörigt" "competent"
"säkerhetsavstånd" "safety distance"
"jätteglada" "very happy"
"jättesvårt" "very difficult"
"bankränta" "bank interest"
"försäkringssidan" "insurance side"
"lierar" "allying"
"våndats" "agonized"
"elintensiva" "electricity-intensive"
"fjärrvärmeverk" "district heating plant"
"biogasanläggningar" "biogas plants"
"kunnigare" "more knowledgeable"
"förvägrades" "denied"
"oigenkännlighet" "beyond recognition"
"frihandelsvänlig" "free trade"
"utrikeshandelsberoende" "dependent on foreign trade"
"fnmiljöprogram" "fnmiljöprogram"
"barnarbetet" "child labor"
"ministerkonferens" "Ministerial"
"maskerad" "masquerade"
"tekoprodukter" "Coffee products"
"samhällsorganisationer" "community organizations"
"fair_trade" "fairtrade"
"free" "free"
"flyktingsmuggling" "refugee smuggling"
"introducerats" "introduced"
"samarbetsprogrammet" "cooperation Programme"
"landvinningarna" "achievements"
"energisituationen" "energy situation"
"lind" "winding"
"multimedia" "multimedia"
"larmet" "alarm"
"skyndade" "hastened"
"trottoarer" "pavements"
"semestertider" "holiday season"
"dokumentärfilm" "documentary"
"slav" "slave"
"boja" "fetter"
"invid" "adjacent"
"offrade" "sacrificed"
"stången" "rod"
"hop" "hop"
"grop" "PIT"
"lagade" "fixed"
"masken" "mask"
"skrik" "cry"
"fackeltåg" "torchlight procession"
"digerdöden" "Black death"
"brandmän" "firefighters"
"exponerats" "exposed"
"curie" "Curie"
"japansk" "Japanese"
"dubblerats" "doubled"
"onkologiska" "oncological"
"hälsopåverkan" "health impact"
"grusade" "graveled"
"sprickor" "cracks"
"titan" "titanium"
"hårdvaluta" "hard currency"
"föredraget" "preferably"
"bratislava" "Bratislava"
"fonderat" "funded"
"uppgradera" "upgrade"
"säkerhetsbedömning" "safety"
"leker" "playing"
"blågula" "blue and yellow"
"slocknar" "extinguishes"
"atomkraft" "nuclear power"
"kärnkraftsprogrammet" "nuclear program"
"förfuskat" "bungled"
"omöjliggjort" "prevented"
"slutdatumet" "end date"
"kärnkraftsparentesen" "nuclear parenthesis"
"elvärme" "electric heating"
"värmesystem" "heating"
"värms" "heated"
"uppvärmningsformer" "forms of heating"
"eleffektivisering" "electrical efficiency"
"effektiviseringskrav" "efficiency requirements"
"eltillförsel" "power supply"
"grundtes" "basic thesis"
"kostnadsbild" "cost structure"
"omställnings" "changeover"
"skogsland" "woodland"
"metangas" "methane"
"skissera" "outline"
"utvecklingsinsats" "development initiative"
"distriktet" "district"
"sysselsättningsaspekten" "employment aspect"
"konkurrensfördelen" "competitive advantage"
"bemyndigade" "authorized"
"trissar" "threes"
"massakrer" "massacres"
"månatlig" "monthly"
"omnämndes" "mentioned"
"dirigerar" "routes"
"slavarbete" "slave labor"
"help" "help"
"klimatforskarna" "climate scientists"
"fossilgas" "fossilgas"
"biobränslenas" "biofuels"
"elproduktionsanläggningar" "power generation equipment"
"kraftkällor" "power sources"
"manipulerat" "manipulated"
"elnät" "powerline"
"vindkraftverken" "wind turbines"
"vindkraftsanläggningar" "wind power plants"
"forskningsanläggning" "research facility"
"kortlivade" "short-lived"
"off" "off"
"arbetsmarknadsområde" "labor market area"
"chalmers" "chalmers"
"magneter" "magnet"
"alstras" "generated"
"strålningsrisker" "radiation risks"
"barsebäcksreaktorerna" "barsebäck reactors"
"barsebäcksreaktorn" "barsebäck reactor"
"skadeslös" "harmless"
"anderson" "anderson"
"undantagsbestämmelse" "derogation"
"hemförsäkringar" "home insurance"
"jordbävningar" "earthquakes"
"sydkrafts" "Sydkraft"
"ansvarsbelopp" "responsibility amount"
"utmäta" "mete"
"världsunikt" "unique in the world"
"avhandlade" "discussed"
"riskbedömningen" "risk assessment"
"småpotatis" "peanuts"
"justitieministrarna" "Justice Ministers"
"atomanläggning" "atom plant"
"anslutet" "connected"
"civilrättslig" "civil"
"anläggningsinnehavarens" "plant holder"
"länkar" "links"
"anläggningsinnehavaren" "plant holder"
"anläggningsinnehavarna" "plant holders"
"statsanslaget" "government funding"
"allmänmänsklig" "general human"
"barsebäcksreaktor" "barsebäck reactor"
"skadeståndsskyldiga" "liable"
"skalbolag" "shell companies"
"ersättningsanspråk" "claims"
"underrubriken" "under the title"
"skogsvårdslag" "forestry Act"
"underifrånperspektivet" "bottom-up approach"
"tillsynsmyndigheter" "regulators"
"igångsattes" "started"
"miljöutrymmet" "environmental space"
"åverkan" "damage"
"skräpar" "litter"
"principöverenskommelsen" "agreement in principle"
"ramkonvention" "Framework Convention"
"skrivelserna" "letters"
"kristet" "Christian"
"palestinakonflikten" "Palestinian conflict"
"kemal" "Kemal"
"fängslat" "imprisoned"
"interventionen" "intervention"
"adjektiv" "adjective"
"tjugoförsta" "twenty-first"
"hjälporganisation" "NGO"
"rendera" "render"
"euutrikesministrar" "euutrikesministrar"
"lord" "Lord"
"mehmet" "Mehmet"
"verkställde" "effected"
"chefsåklagare" "chief prosecutor"
"ödesdiger" "fatal"
"utrotningshotad" "endangered"
"human_rights_foundation" "Human Rights Foundation"
"turkey" "turkey"
